datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
03-Feb-2022 02:50:00,842.246818329089,3244.04238086407,16152148.4626602,1924599165.0275,1109407677043.65,1453037005207.05,68614394130.45,324.976427475425
03-Feb-2022 02:55:00,758.946924712969,2887.08977630532,15996474.0230353,1861212212.52978,1110496043289.8,1466890969933.1,68222705606.681,301.752991144433
03-Feb-2022 03:00:00,682.263881683722,2561.84282129656,15821726.1074553,1790127713.09724,1111718488718.67,1482588192277.57,67741601719.5855,278.436117360009
03-Feb-2022 03:05:00,657.931500921584,2459.98421376858,15637438.0416086,1692950145.92955,1112215458035.2,1497523447524.18,67675259412.5725,260.848670721364
03-Feb-2022 03:10:00,640.343187899098,2381.05284413136,15453700.407087,1631433963.05242,1112586777059.89,1512309831595.04,67735139859.1394,248.938654434043
03-Feb-2022 03:15:00,621.907001744359,2299.78623907443,15260046.4487621,1562179416.53403,1113017219053.2,1529111009324.04,67915268962.7813,235.797338101789
03-Feb-2022 03:20:00,604.543930371025,2222.55158951244,15063125.8715123,1498054073.34782,1113503792220.56,1547026018564.8,68153277075.7635,223.552044855641
03-Feb-2022 03:25:00,590.024786589642,2156.10756732451,14879525.7725744,1450334876.77978,1113943536109.36,1563379528197.18,68379585691.1807,214.251401011001
03-Feb-2022 03:30:00,576.629885558691,2095.29844089412,14717177.6075688,1407168063.67131,1114337501395.42,1578153100733.81,68593644850.4236,206.150499681376
03-Feb-2022 03:35:00,570.800225814067,2062.25304456658,14611976.3283307,1405553278.43416,1114535934085.34,1586099286323.63,68620249631.6714,205.271905168432
03-Feb-2022 03:40:00,580.503453597262,2086.4457155224,14657338.3846102,1488341176.77063,1114129313484.22,1577166887064.75,68242941292.4267,219.534505097596
03-Feb-2022 03:45:00,602.322762807776,2159.68794126762,14899288.8517981,1627192860.81472,1113113407885.92,1551544201984.03,67491457714.0573,245.683137581248
03-Feb-2022 03:50:00,616.338528981864,2207.27721902553,15205806.5565024,1758224588.38184,1110756766401.44,1520081727781.15,66691887052.1823,270.697083461228
03-Feb-2022 03:55:00,613.280112304042,2197.27577967621,15419304.7539195,1784165691.46791,1108994200279.62,1500770932999.71,66240409686.3163,277.359495502341
03-Feb-2022 04:00:00,600.758086551392,2149.36708807323,15494257.9574286,1760756535.76916,1107809274175.75,1494132336575.92,66108014110.4113,273.425500023287
03-Feb-2022 04:05:00,591.579975412714,2113.18271867101,15488713.7752097,1714304635.60256,1108285642348.53,1498014222551.3,66168080162.9031,265.57413607115
03-Feb-2022 04:10:00,586.897477750885,2089.45744010046,15434326.6612706,1700750957.53112,1108793175690.16,1502560314381.26,66199883292.7275,262.267103955122
03-Feb-2022 04:15:00,583.469747713261,2070.46444925199,15360820.7735783,1694858238.67523,1109280372579.19,1506136651645.98,66183508621.4319,260.169153795972
03-Feb-2022 04:20:00,577.411472442414,2042.93270320415,15255008.101069,1671789455.45408,1109839143055.32,1511810233090.14,66222759955.0575,255.124405649602
03-Feb-2022 04:25:00,566.36742429913,1997.68201960736,15100021.0787286,1617512737.73867,1110624779636.69,1523575246694.6,66401318297.6402,244.507439960561
03-Feb-2022 04:30:00,553.19233989159,1943.91976115273,14908341.6342659,1551413207.00079,1111592433980.68,1540251931522.28,66679803056.3591,231.592116193306
03-Feb-2022 04:35:00,537.667351900005,1881.64489432354,14691541.3952932,1472564305.78574,1112720945552.96,1561375537951.08,67053929855.549,216.543242681442
03-Feb-2022 04:40:00,520.044404271592,1812.00025451868,14456529.8828514,1382271237.86834,1114021900961.65,1587202867291.51,67526060137.5888,199.739048405001
03-Feb-2022 04:45:00,501.517208068814,1739.09515481303,14211005.9803114,1288470008.48529,1115471306957.1,1617104037852.15,68078274139.3322,182.577493460725
03-Feb-2022 04:50:00,529.831408760313,1816.23860875944,13971032.4573919,1406853389.55942,1115903745791.26,1636223828170.1,68624068919.7617,197.469571432224
03-Feb-2022 04:55:00,608.831053968693,2047.21731964828,13779821.079555,1841151236.24044,1114923698363.02,1625571022722.45,68634401117.709,260.656139971888
03-Feb-2022 05:00:00,710.714608716626,2359.7757399932,13622174.5946212,2411960667.86819,1112830215239.97,1587341393001.41,68508448021.8914,351.093502865632
03-Feb-2022 05:05:00,797.316731910648,2636.8885926972,13563223.727304,2929902576.02111,1111126460417.11,1542368680164.41,67618782450.376,437.739003919992
03-Feb-2022 05:10:00,851.867105896174,2835.11037705923,13580784.1750667,3199955944.92127,1110092242010.1,1504616332578.94,66614327068.7396,489.205838941325
03-Feb-2022 05:15:00,907.898455962499,3046.24436212988,13675162.6006979,3435883436.24098,1109397832720.79,1473644787649.53,65624456235.8102,535.84934373753
03-Feb-2022 05:20:00,972.969522750764,3295.38591069873,13866754.0225297,3688126491.57211,1108836302497.52,1444922004328.81,64558356519.4283,586.546362840417
03-Feb-2022 05:25:00,1056.372446253,3617.67941546192,14199164.1972313,4010792012.25367,1108124010678.05,1412937652638.83,63330529692.8264,652.638111161816
03-Feb-2022 05:30:00,1156.23415693199,4012.19394537563,14683701.7218059,4387180347.9786,1107271908446.09,1378305257853.34,61990059458.4659,732.52920922113
03-Feb-2022 05:35:00,1258.48820767291,4431.231617384,15259243.5076093,4736091801.06107,1106550486620.48,1347136491526.84,60718717195.6652,809.870520288827
03-Feb-2022 05:40:00,1348.58739351708,4817.39042888767,15837569.1361192,4985796675.52324,1106255237350.02,1325134012139.31,59637459322.117,867.407399337213
03-Feb-2022 05:45:00,1426.01885039425,5162.76946908228,16389690.4652529,5147764233.64203,1106360727375.02,1311525104501.91,58718084130.788,905.430979366354
03-Feb-2022 05:50:00,1573.24142300314,5652.71527714567,16955439.27994,6242253093.99825,1108525437243.69,1295625344674.76,56860372846.7513,1058.51617748786
03-Feb-2022 05:55:00,1922.15311977729,6868.99894534023,17519920.9598103,8392451748.00933,1109243287925.15,1262879815574.54,54391659008.6668,1391.26529380923
03-Feb-2022 06:00:00,2420.26543044625,8704.6804110527,18154570.8018403,11313077549.8618,1108733244577.03,1215733829768.47,51497379173.2806,1857.62672950873
03-Feb-2022 06:05:00,2863.0502356374,10485.9677666383,18816044.9023331,13449295000.3693,1105959025924.33,1166581028222.38,49295472383.5828,2293.77640914961
03-Feb-2022 06:10:00,3143.94641654823,11708.9102828134,19555625.6145219,14744380021.1488,1104261408816.65,1128744334415.55,47546946529.9254,2592.40782752677
03-Feb-2022 06:15:00,3378.5145864744,12746.8523510689,20341818.319497,15816366829.3711,1103068864165.86,1099944669177.75,46108016229.6476,2848.72062508001
03-Feb-2022 06:20:00,3569.71445755955,13595.7489023864,21159948.8536632,16684127251.916,1102342507223.85,1078760528022.84,44904602465.4956,3060.98875771074
03-Feb-2022 06:25:00,3720.47699068621,14255.8128701452,21987502.529823,17364305132.3754,1102041441787.25,1064245333907.05,43891167127.3738,3228.3116955637
03-Feb-2022 06:30:00,3826.23441246539,14705.4159120823,22801268.9658394,17834455235.6604,1102160593009.85,1055517563976.61,43034352248.8039,3344.38891390391
03-Feb-2022 06:35:00,3877.18962173618,14899.9985196263,23568111.0980002,18037642632.3343,1102776163124.07,1053127882248.72,42339052530.7931,3393.86904811164
03-Feb-2022 06:40:00,3871.19341016854,14827.8368720343,24248767.2476602,17958871817.6556,1103932385884.47,1057559448704.63,41799548667.0727,3371.01155104921
03-Feb-2022 06:45:00,3813.27739889551,14518.9702674954,24825173.3370213,17626659808.9228,1105566553914.01,1067765703754.95,41386795885.863,3284.99183133665
03-Feb-2022 06:50:00,3703.12902275053,14015.1512847593,25315196.5958757,16861654213.0473,1108147620054.19,1082700976274.45,41224195164.5033,3141.91762034253
03-Feb-2022 06:55:00,3588.95320209998,13496.4783446432,25734374.4149715,16099914230.9861,1110609898953.96,1098189282066.97,41143687325.3771,2998.75999371186
03-Feb-2022 07:00:00,3481.17621140296,13007.3181768183,26102725.8492872,15390678551.1326,1112827889253.21,1113244643462.1,41100065762.5626,2867.11843793168
03-Feb-2022 07:05:00,3436.10215811465,12781.0076137384,26407006.8365333,15188255537.6745,1113449570546.04,1119195978473.45,40880234584.7345,2818.62272822589
